protein1,protein2,label
Q04399,Q6B108,0
P00128,P10834,0
P38265,Q04501,0
P05759,P53247,0
P08468,P28627,0
P35202,P43575,0
Q08741,Q99383,0
P40575,Q03236,0
P38115,P47074,0
P40917,P41697,0
P35197,Q04835,0
P32776,Q04177,0
Q03375,Q06218,0
A0A023PXP4,P25632,0
P32771,Q04119,0
P0CX68,Q06252,0
Q04305,Q05636,1
P40154,Q08218,0
P36080,P53891,0
P39996,Q08579,0
P38627,P53824,0
P11633,Q3E787,0
Q02521,Q12471,0
P34240,P53081,0
P22141,Q96VG5,0
P38856,P53878,0
P16474,P49723,0
P35691,Q00947,0
P90471,Q08293,0
P43619,Q02754,0
P35995,Q99186,0
P16639,Q05998,0
P53305,Q03976,1
P0CX96,P36151,0
P40353,Q12260,0
P20438,Q07872,0
P40538,P43616,0
P14306,P32800,0
P53728,P87281,0
P35996,Q12111,0
P53823,Q03656,0
P02406,P14126,1
Q06350,Q12254,0
P28789,Q06678,0
P49166,Q06440,0
Q08548,Q12380,0
P25571,P46984,0
P38828,Q12351,0
P38628,Q08282,0
P02407,P0CX43,1
P47007,P53210,0
P53720,Q01329,0
P40896,Q12001,0
P33311,P41910,0
P47818,Q03210,0
P23394,Q96VH2,0
P18408,Q04033,0
P38204,P40006,0
P53737,P89495,0
P43539,Q06671,0
Q04924,Q12347,0
Q06408,Q3E806,0
Q05506,Q12233,0
P42936,Q3E814,0
O13541,P26755,0
P50112,Q07799,0
P53226,Q12165,0
P25629,P53058,0
P15625,P39106,0
P38255,Q03246,0
P41834,Q12233,0
P35192,P40019,0
P16120,Q12083,0
P25603,P40543,0
P38627,P47018,0
P32342,P38756,0
P16387,Q04383,0
A0A023PXC2,P38116,0
P38861,Q06333,0
Q03186,Q03860,0
E9PAE4,Q04396,0
P09032,P11986,0
P36153,P39989,0
P40498,P53941,1
P18900,Q03102,0
P40539,Q3E798,0
P06169,P36172,0
P38247,P46959,0
Q06349,Q08687,0
P53888,Q03787,0
P54999,Q00723,1
P26798,Q05947,0
P47141,Q07990,0
P0CX95,Q8TGP2,0
P25036,P36127,0
Q08027,Q12400,0
P53251,Q12036,0
P26755,P53109,0
P25628,P47027,0
P33122,Q3E817,0
P0CH09,P23638,1
P32835,Q06631,0
P07274,P38011,0
P32836,P53910,0
P25358,P53255,0
P53302,Q12035,0
P39735,Q04233,0
P38985,Q12261,0
Q05871,Q12431,0
P38307,P53911,0
P14126,Q6Q5H1,0
P03879,P36025,0
P40052,P47139,0
A0A023PXQ9,P38257,0
P38206,P53201,0
P40018,P40204,1
P00045,P38166,0
P36122,Q08419,0
P36167,P50106,0
Q06537,Q08969,0
P38803,Q12690,1
P38746,P53287,0
P53211,Q12212,0
P40013,P61830,0
P40510,Q12303,0
P38322,P39962,0
P36015,P53944,0
P53216,Q12298,0
Q08285,Q12404,0
P0CX32,P53235,0
P43608,Q07478,0
P33296,Q08448,0
P0C289,P40162,0
P40532,Q12025,0
P25332,Q3E7B6,0
P38109,Q03667,0
P0C2J4,Q06417,0
P22146,P38254,0
P38891,P40991,0
A0A8D9PCQ4,P40488,0
P40095,Q3E7B2,0
P38191,P40458,0
Q04935,Q12003,0
P36119,P39938,0
Q06107,Q99344,0
Q03281,Q06616,0
P25656,Q04895,0
P47009,Q12056,0
P25038,P32191,0
P15731,Q03557,0
P14306,P53035,0
P38930,P53143,0
P04911,P32325,0
P06780,P16547,0
P47142,Q12483,1
P38703,P40344,0
P0CX81,Q04406,0
P90471,Q12164,0
P53314,Q07938,0
P23594,P53390,0
P50875,Q12030,1
P32569,P38732,0
P19145,P32773,0
P39729,P40585,0
P39101,P53859,0
A0A023PYK2,Q12428,0
P03870,P39974,0
P14127,P25515,0
P29055,P35178,0
P38812,P45819,0
P07249,P47976,0
P28778,P36056,1
P38237,P38627,0
P87285,Q12300,0
P40030,Q02774,0
P43122,P53085,0
Q12059,Q3E760,0
P32837,Q03788,0
A0A023PYE4,P38831,0
P19882,Q04689,0
P0CY06,Q3E833,0
P00560,Q03898,0
P38886,Q02796,0
P05744,P05745,1
P07342,P53252,0
P06704,P14736,1
P00925,Q04216,0
P9WEJ2,Q03029,0
A0A023PXP7,P36027,0
P41697,P43618,0
P38276,Q08491,0
P0CX55,Q05775,1
P34226,Q3E7C1,0
P35190,P38760,0
P38204,Q12248,0
P05453,P49954,0
P38808,P53228,0
P0CL38,Q12070,0
P53960,P87273,0
P32562,Q99288,0
P36527,P38064,1
P53826,Q12365,0
P21595,P39983,0
P38748,Q12518,0
P38068,Q05933,0
P14908,P35817,0
P36070,P38736,0
P38993,P42073,0
P0CF19,P38785,0
P25351,P40558,0
Q08474,Q12015,0
P40455,Q06090,0
P34162,Q12403,0
P40217,P54854,0
P38687,P39970,0
P32469,P43541,0
P39988,Q03233,0
P07347,Q12216,0
P38714,P42826,0
P22148,Q06815,0
Q05949,Q99288,0
A0A023PXF2,P36140,0
P40302,Q02354,0
P31115,P40548,0
P24000,P49166,1
P11927,P40160,0
P47114,Q02521,0
P07258,Q03674,0
P37302,Q04839,0
Q04471,Q08446,0
P48360,Q04049,0
P33448,Q01532,0
P53264,Q04172,0
P31373,Q04225,0
P20435,P40046,0
P38351,Q03388,0
P25352,P36037,0
P39954,P40449,0
P47083,Q12129,0
A0A023PYE4,Q06148,0
P00175,Q01926,0
P43557,Q03010,0
P04456,P45818,0
P38281,P47069,0
P0C5N1,P53154,0
P32463,P47004,0
P04650,P53154,0
P53116,P53941,0
P38783,P38785,0
P17214,Q06102,0
Q06648,Q07949,0
P38875,Q12286,0
P31386,P46673,0
P53943,Q12086,0
P28737,P42834,0
P25610,Q07535,0
P53210,Q02933,0
P05759,Q02555,0
P18412,P40548,0
P12962,Q02872,0
P06174,P22140,0
P33203,P40045,0
P40553,P47079,0
P40464,P40858,0
P80428,Q8TGT0,0
P36098,P36121,0
P06785,P53723,0
P38881,Q12374,0
P0CX48,Q12098,0
P43607,Q08649,0
P33442,Q8TGK6,0
P32629,P33749,0
Q03290,Q08925,0
P06103,Q12483,0
P0C1V3,Q05937,0
P04912,Q04437,0
P0C5L0,P22211,0
P52911,Q99373,0
P36108,Q07978,0
P40047,Q05583,0
P38155,P53910,0
P20049,P43614,0
P38358,Q04413,0
P0C0X0,Q3E757,1
P38828,Q04814,0
P36107,Q03687,0
P46983,P48365,0
P03069,P22943,0
P53308,P54199,0
P39684,P53892,0
P36224,P39971,0
P10356,Q07824,0
P53738,Q06508,0
P32178,P47147,0
O13571,P47085,0
P38815,Q02981,0
P27882,P39968,0
P38754,Q96VH2,0
P0CL38,P50263,0
P39976,Q8TGQ8,0
P53227,Q08621,0
P46992,Q12436,0
P53207,Q12528,0
P40581,P42840,0
P53337,P53856,0
Q12210,Q3E7A2,0
P35727,P36088,0
P04449,P0CX32,1
P38774,Q03125,0
P53012,Q03648,0
P38727,P40554,0
P25303,P53211,0
P54007,Q04923,0
P07250,P53314,0
P14063,P53921,1
P02406,Q12514,1
P47038,Q06817,0
P0CX32,P54780,1
P40886,Q08954,0
P04786,P40106,0
Q03784,Q06549,0
P02829,P31412,0
P53930,Q99345,0
P42944,Q03057,0
P21192,P39933,0
P38712,Q03937,0
P53169,Q12495,0
Q02354,Q08492,1
P40518,P53083,0
P00912,Q01589,0
P36140,P43624,0
P25355,P47025,0
P53899,Q07881,0
P03962,P0C261,0
P33442,P48240,1
Q01684,Q12109,0
P0C5Q6,P53063,0
P53820,P53830,0
P05694,P36088,0
P40917,P53140,0
P25632,P38912,0
P23501,Q12124,0
P38822,Q08119,0
P32356,P46993,0
P38912,Q04934,0
P32789,Q04751,0
A0A023PZH1,P36105,0
P18412,Q8TGS2,0
P53831,Q06505,0
P32381,Q06678,0
P36525,Q02204,1
P89888,Q02908,0
P40970,Q04651,0
P40323,P46961,0
A0A023PXH6,P53954,0
P53213,Q03695,0
Q02205,Q03786,0
P38084,Q12165,0
P43590,Q08746,0
P02407,P0CX29,1
P0CX31,P46948,1
P0CX28,P38301,0
P28791,P47013,0
P10614,Q06523,0
P40990,Q12118,0
P36035,Q03654,0
P53883,Q07376,0
P07390,P38115,0
P0CX90,P10849,0
P38765,Q8TGT4,0
P05318,P53942,0
P0CX85,P29453,1
P05319,P0CX42,1
P0CX28,P39938,1
P05375,Q08241,0
P15807,Q12312,0
P14065,Q12004,0
P02309,P40422,1
P47058,Q12336,0
Q03080,Q08925,0
P0CX33,P32562,0
P53145,Q03010,0
P32494,Q6Q5K6,0
P00447,P40046,0
P0CX30,P53179,0
P13393,P53741,0
P39552,P53216,0
P38318,P40961,0
Q03213,Q07959,0
P0CL26,P25351,0
P38128,Q01919,0
P53958,Q05506,0
P0CX29,P46654,1
P00830,P48527,0
P53210,Q04835,0
A0A023PYC6,P21595,0
P40958,Q06107,0
P35200,P53073,0
P32902,Q03799,1
P38201,P53213,0
P04039,Q8TGL3,0
Q05998,Q07376,0
P0CX31,P87191,0
P40036,Q3E763,0
P47141,Q01163,1
P39534,Q12098,0
Q03920,Q08929,0
P25613,P38301,0
P38822,P53118,0
P17536,P32559,0
P38324,P53178,0
P20485,P38826,0
Q07930,Q99401,0
P47145,Q9ZZW3,0
P40022,Q08176,0
P0C2H6,P48589,1
P40560,Q3E823,0
P53551,Q12012,0
P39715,Q12461,0
P35190,Q3E760,0
P17119,P50263,0
P38155,P47051,0
P00890,P43581,0
P0CX44,P41057,1
P22149,P38161,0
P0CX75,P32831,0
P0CF17,P47094,0
Q04608,Q12477,0
Q02948,Q12493,0
P06782,P0CX08,0
P53969,P80967,1
Q03786,Q08826,0
P40496,P53039,0
Q07458,Q08238,0
P53968,Q12326,0
P32485,P47166,0
P53139,P53264,0
P38042,P53068,1
P08431,Q96VH2,0
P36173,Q08622,0
P22007,P53745,0
P47106,Q12296,0
P25379,P26449,0
P06101,P47149,0
P38429,Q06032,0
P32630,Q08900,0
P32325,Q02799,0
Q05900,Q06835,1
O14455,Q01560,0
P05759,P25368,1
P0CX37,Q01855,1
P0C155,P22214,0
P0C5Q6,Q12390,0
P16387,P33759,0
P40151,Q08747,0
P06838,P49089,0
P53726,Q92392,0
P36081,P38342,0
P36005,Q12314,0
P19073,P50082,0
P38776,Q03263,0
P13712,Q04399,0
P40498,Q12108,0
P22438,P32388,0
P48568,Q3E7Z8,0
P42943,P54791,0
P36531,P53937,1
A0A023PXC7,Q8TGT9,0
P53955,Q07915,0
P40518,Q05933,1
P53310,Q04432,0
P38184,P39995,0
Q02889,Q6B0V7,0
P32611,P32614,0
O13540,P22217,0
P06634,P47002,0
P46988,Q3E7X9,0
P50086,Q04062,1
P31376,P38286,0
P21147,P53204,0
P40489,Q12234,0
P35206,P46683,0
P23248,P49626,1
P38759,P40499,0
P39743,P48439,0
P46996,Q05567,0
Q07790,Q08465,0
P00447,P53260,0
Q08282,Q45U18,0
P16467,P46995,0
P10869,P53507,0
P33299,P38886,1
P53928,Q02908,0
P25573,Q02892,0
O13516,P11076,0
P38328,P39014,0
P38337,P40065,0
A0A023PXH4,P40454,0
P53964,Q12204,0
Q2V2P3,Q45U18,0
P32910,Q04272,0
Q08457,Q12032,0
P0CW40,Q7M4S9,0
P00045,P38710,0
P02381,Q12032,0
P0CF20,P0CX31,0
P05150,P39006,0
P14832,P38262,1
P32831,P53866,0
P21827,P87281,0
P09032,Q03937,0
P0CX84,Q06490,0
P48439,Q06411,0
P12612,P40033,0
P35172,P40422,0
O13553,Q06390,0
P24868,Q12241,0
P11484,P36164,0
P40465,P53162,0
P05759,P53722,0
P48239,Q06608,0
P36070,P38131,0
P0CE00,P38112,0
P53823,P54885,0
P53837,Q99257,0
P38082,Q12412,0
P47126,P53068,0
P37292,P53078,0
P02407,P0CX41,1
P16892,P25591,0
P0CX40,P53725,1
Q12287,Q12318,0
P53823,P53915,0
P39979,P53304,0
P38962,Q05911,0
P52870,P52871,1
P05755,P32488,0
Q05541,Q07913,1
P23254,Q12067,0
P33313,P40325,0
P14843,P29295,0
A0A023PZJ3,P49167,0
P09064,Q03213,0
P25381,P69851,0
P47167,P53298,1
P25639,Q06103,0
P38725,Q12143,0
P0CX17,Q08651,0
P28005,P38291,1
P20107,Q04276,0
P28274,Q99312,0
P00360,P0CX68,0
P14126,Q06522,0
P23644,Q12099,0
P0CL35,Q07872,0
P38247,P43608,0
P0CX47,Q03085,0
P40360,P87262,0
P19145,Q03419,0
P32363,P39549,0
P32450,P35691,0
P40571,P53881,0
P32357,P38269,0
P32335,P53849,0
P03870,P38930,0
Q08240,Q12261,0
P32643,Q03254,0
P07270,Q12485,0
P39543,Q12052,0
P38151,P47176,0
P38241,Q07350,1
P47110,P47137,0
P47077,Q08985,0
P0CL29,P60010,0
P40503,P47045,0
P48240,Q06287,1
P33441,Q03864,0
P35209,Q03289,0
P21182,P53316,0
P53894,Q3E736,0
P47065,P53294,0
P38769,Q3E7Y5,0
P25571,P49334,0
P11914,Q04344,0
P0CY01,P36102,0
P36060,P53326,0
P36140,Q12518,0
P36129,Q03722,0
P19073,P32892,0
P53257,Q12254,0
P32475,Q04276,0
P20084,P53875,1
P53907,Q08630,0
P50264,Q03148,0
P14120,Q02205,0
P14126,P40449,1
P53342,Q3E7Z4,0
P08425,P48362,0
P53927,Q02892,1
P38193,Q02457,0
O13513,P40348,0
P41057,Q06508,0
P32363,Q12272,0
P15367,P47172,0
P40204,Q02554,1
P53040,Q12297,1
P40448,P53275,0
P36066,P53951,0
P36156,Q04226,0
P27809,P32858,0
P13434,P38716,0
Q07811,Q12379,0
P38604,P53923,0
A0A023PXF2,P40068,0
P36106,Q12402,0
P51401,P53427,0
A0A023PXE8,P47130,0
A0A023PZB3,P54114,0
P25378,Q03362,0
P06839,P32774,1
P39721,Q9ZZW2,0
P05747,P0CX46,1
P11709,P54858,0
P38309,P47072,0
O13579,Q06436,0
P38711,P45818,0
P38009,P48567,0
P39728,Q03694,0
P53208,Q3E6R4,0
P38821,Q12092,0
P32527,P38860,0
P21651,Q04835,0
Q03653,Q06287,0
P23542,Q04600,0
P36136,P53078,0
P27654,P38115,0
P32642,Q08956,0
P43588,Q04089,0
P32447,P40342,0
Q03862,Q08746,1
P32318,P40892,0
P38316,P38699,0
P07884,Q05473,0
P0CX49,P40986,0
P36523,Q02204,1
P43577,P53922,0
P06785,P38988,0
P24482,P40058,0
P36131,P47106,0
P53096,Q06549,0
P36121,Q06623,0
O13567,P38194,0
P18238,P20107,0
P53161,Q04602,0
P0CE91,Q04408,0
P0CX34,P42951,0
P53057,Q12415,0
P25345,Q12274,0
P25370,P40587,0
P32629,P40473,0
P40023,Q04894,0
P53270,Q2V2P8,0
P39715,P40150,0
P27351,Q99186,1
P0CX25,P38754,1
P25571,Q01519,0
P42844,Q06070,0
P40093,Q08685,0
O13541,Q02732,0
Q03750,Q06204,0
Q04013,Q8TGQ2,0
P32891,P40521,0
P05375,Q3E742,0
P0CX60,P46984,0
P18759,P38709,0
P05744,P39937,0
P53126,Q06266,0
P47167,P53829,0
P32788,P53968,0
P36127,P53541,0
P17649,Q03860,0
P0CL37,P40002,0
Q04868,Q12352,0
P25656,P32895,0
P31382,Q07897,0
P14306,P30952,0
P38730,P40962,0
P38728,P40166,0
Q06325,Q08984,0
P03877,P36521,0
O94085,P43122,0
P38776,Q03071,0
Q03694,Q12523,0
P02294,P32447,0
P40160,Q12092,0
P21595,Q12056,0
P39875,Q03532,0
P38637,Q08754,0
P32486,Q12500,0
P25587,P53939,0
P53228,P53970,0
P08018,Q12230,0
P40003,Q12370,0
P53769,Q02046,0
Q02896,Q3E736,0
A0A023PZ94,P36107,0
P36085,P49957,0
P32340,Q07623,0
Q08421,Q08465,0
Q08417,Q12169,0
P05453,Q3E7A4,0
Q04705,Q08001,0
P53926,Q02555,0
P46672,P50946,0
P09201,P53326,0
P40498,P53882,0
P53193,Q02767,0
P32839,P53216,0
P46998,Q08601,0
P0CX69,Q3E832,0
P25303,P38243,0
Q12104,Q12333,0
P25607,P38801,0
P17558,P38790,0
P25566,Q04712,0
P38205,Q04602,0
P00447,P42073,0
P16649,Q08484,0
P40990,Q12461,0
P32916,P41800,0
P31378,P42935,0
P0CX13,P39111,0
P25359,Q03772,0
P38778,Q03375,0
P32804,P47121,0
P38909,P53740,0
P25576,P53126,0
P53725,P53825,0
P43591,Q12470,0
P38682,Q03144,0
P25594,P34760,0
P18410,P53080,0
Q08842,Q92331,0
P32473,Q05521,0
P32857,P43602,0
P07274,P28737,0
P0CX44,P0CX83,1
P40560,Q05611,0
Q02199,Q08955,0
P52871,P53946,0
P0CX80,Q12059,0
O74700,P42950,0
Q02554,Q12417,1
P47141,P53081,0
P40214,Q12511,0
P04786,P50089,0
P53266,Q12215,0
P25625,P38690,0
A0A023PXA5,Q06644,0
P0CE99,Q8TGK4,0
P0CX61,P53308,0
P0CL41,P28263,0
P38907,Q04658,0
P24000,P38961,0
P39073,Q08686,0
P53954,Q3E740,0
P06773,P28778,0
P25585,Q07657,0
P21147,P53177,0
P25604,P47085,0
P02407,P39938,1
P32387,P38276,0
P16649,P53075,0
P36091,Q3E818,0
P53843,Q07980,0
P32912,Q07732,0
P29478,Q12403,0
P12962,P27810,0
Q03784,Q06822,0
P06106,Q04226,0
P0CX42,P56628,1
P53929,Q02354,0
Q04177,Q12194,0
P17898,Q08634,0
P33309,Q05905,0
P05066,P48560,0
P43551,P43624,0
Q04659,Q08774,0
P53897,Q04432,0
P30952,P48510,0
P34247,P39990,1
P39999,P53877,0
P33750,Q08979,0
P39103,P40500,0
P0CH09,Q07471,0
P53146,P53317,0
P07172,P53205,0
P53955,P89114,0
O13578,P36080,0
O14455,Q04978,0
P0CX31,Q02793,1
P40524,Q07084,0
A0A023PZH9,P32590,0
P32523,P50264,0
P04173,P38854,0
P25344,P40202,0
P40312,Q03195,0
P39705,P47095,0
P47178,Q12214,0
P05750,P25377,0
P0CF33,Q06252,0
P39726,Q07560,0
Q08416,Q3E793,0
P89113,Q12178,0
O94742,P33299,1
P25656,Q06149,0
P05316,P39726,0
P19881,P38277,0
P39735,Q3E7B3,0
P14126,Q04432,0
P32626,Q05947,0
P34163,P36141,0
P53325,P53758,0
P36519,P36525,1
P40362,Q12149,1
P53224,P53754,0
P26725,P38283,0
P0CT86,Q06451,0
P25338,P47141,0
P10659,P28003,0
P38985,P53226,0
P08468,Q08412,0
P0CX27,P40525,1
P01094,P0CX66,0
P35190,P38705,0
P38885,P48581,0
Q08216,Q3E810,0
P36108,P53902,0
P40102,Q9ZZW1,0
P14064,P53310,0
P46971,Q04712,0
P53882,Q12119,0
P18888,P39014,0
P61830,Q08747,1
P25591,Q12254,0
P11633,Q12093,0
P0CX30,P40896,0
P25300,Q07528,0
Q07747,Q12225,0
P25344,P53099,0
P20437,P39958,0
Q03776,Q05924,0
P28000,P32529,1
P38084,P40522,0
A0A023PXF5,P32582,0
P13365,P43595,0
P10363,Q07959,0
P32457,P38287,0
P32579,P38813,0
P38170,Q06696,0
P32643,P39718,0
P47088,Q08811,0
P32581,Q12259,0
P40474,Q02205,0
P21592,P34224,0
P39002,P43566,0
Q00539,Q04632,0
O13560,P53199,0
P43540,Q12400,0
P32328,P47113,0
P25601,P47101,0
P47158,Q12411,0
P41901,Q03792,0
P46964,P54005,0
P36089,P40530,0
P39952,Q03175,0
P36073,Q02896,0
P53905,Q12368,1
P38084,P53921,0
P0CX62,Q05775,0
P34163,P39999,0
P36160,Q08746,1
A0A023PYK2,P53158,0
P33299,P47175,0
Q12010,Q3E795,0
P05316,P38265,0
P40993,P53833,1
P38357,Q06162,0
P38927,Q04472,0
Q02710,Q02804,0
A0A023PXP4,Q99332,0
P53161,Q06107,0
P25368,P47083,1
P0CD98,P15625,0
P48837,P52891,1
P32342,Q12157,0
P10869,P32590,0
P21801,Q99296,0
P30402,P43579,0
P20435,P32773,1
Q03048,Q08959,0
Q03375,Q06835,1
P38131,P47072,0
P43617,Q12387,0
P53389,Q3E6R4,0
P0CX24,P46990,1
P38843,Q04951,0
P38374,P53862,0
P24720,Q12128,0
Q06266,Q3E826,0
P32579,Q04934,0
P0CX98,P38629,0
Q07988,Q08646,0
P53749,Q06598,0
P32606,Q04110,0
P40577,P53841,0
P00572,Q8TGT9,0
P0CX19,Q03102,0
A0A023PXI8,Q08521,0
P32897,P39515,1
P33331,P46958,0
Q04226,Q05027,1
P32609,Q12343,0
P07284,Q12249,0
P15180,P28000,0
P38733,P47176,0
A0A023PYG5,P33122,0
P00924,Q3E7A3,0
P87283,Q99258,0
P0C5M7,P32584,0
Q08750,Q99314,0
P53926,Q02887,0
P25573,P48589,0
P53838,Q12372,0
P42847,Q6Q5F3,0
P0CF33,P38751,0
P38751,P47137,0
P07280,P38071,0
P12612,P22149,0
P07236,Q07949,0
Q00539,Q8TGK4,0
A0A023PXD3,P40532,0
P10127,Q03529,0
P46947,Q99181,1
P40568,P46984,0
P20435,P32529,1
P38774,Q08444,0
P0C5N0,P32467,0
P38429,P40314,0
P53169,P53884,0
P38705,Q12098,0
O13588,Q04847,0
P06774,P54113,0
P0CX24,P0CX52,1
P06783,P38967,0
P40489,Q06102,0
P13181,P39705,0
P39946,Q07845,0
P32867,P40545,0
P40351,Q12057,0
P0CX27,Q06127,0
P39988,Q05515,0
P08425,P38843,0
P34221,P38277,0
P39932,Q01519,0
P36084,Q02516,0
A0A023PZM3,E9PAE7,0
P0CX41,Q02866,0
P40546,Q05636,1
P22204,P38299,0
P0C5Q7,Q06580,0
A0A023PXE8,P25612,0
P26364,Q08018,0
P38303,Q03630,0
P39003,Q06208,0
P38881,Q08985,0
P02407,P53947,0
P04173,P36050,0
P36033,Q07349,0
P23503,P27515,0
Q03063,Q06466,0
P32891,Q03153,0
P0C268,P38913,0
P0C5L1,P21242,0
P0C5L0,Q08422,0
P21304,P32857,0
P25649,P32350,0
P19516,P38255,0
P53958,Q08439,0
P40990,Q04712,0
P53216,P54791,0
Q02100,Q6Q5X2,0
P25569,P54003,0
A0A023PZI4,P14741,0
P53883,Q05016,0
P0C5Q7,Q12425,0
P47005,P53141,0
P39721,Q12411,0
P40095,P47976,0
P43600,Q01649,0
P50084,P53304,0
P36062,P47976,0
P53061,Q3E835,0
A0A023PYJ4,P38637,0
P0CX98,P53583,0
P16639,P30605,0
P25043,P38268,0
P16658,Q03864,0
P47008,Q07732,0
P0CX93,P40993,0
Q05670,Q12106,0
P25036,P33441,0
P15454,Q8TGJ8,0
P53891,Q05998,0
P23285,P39999,0
P27476,Q05580,0
P47007,Q03655,0
P15202,P39983,0
P38355,P43611,0
P26784,P51401,1
P43616,P47076,0
P46962,Q07622,0
Q8TGL8,Q9URQ5,0
P53737,Q04013,0
Q03769,Q06671,0
P32867,Q02950,0
P36047,P48240,0
P37261,P38788,0
P04456,P05317,1
E9PAF1,P00560,0
P38695,P40156,0
P0CX41,P56628,1
P53907,Q03308,0
P38620,P46984,0
P36143,P40033,0
P19956,P40080,0
P53146,Q05776,0
A0A023PZH1,P38779,0
P05750,P53737,0
P39516,P49626,1
P47175,Q08774,0
P38821,P39012,0
P40066,Q02209,0
P06704,P53276,0
P38042,Q07657,0
P38350,Q08732,0
P46965,P87284,0
Q07829,Q12284,0
P05453,P0C5L2,0
P32622,P40991,0
A0A023PZE2,P40481,0
P0CX55,P48589,1
P0CX31,Q12247,0
P0C2J4,P38174,0
P05750,P0CX46,1
P38130,P47057,0
P38277,P38752,0
P41277,Q99176,0
P20107,P32837,0
O13544,P32602,0
O13546,P38825,0
P53113,Q03879,0
P53687,P53722,0
P08019,P20134,0
P53507,Q99220,0
P08525,P38231,0
A0A023PZA9,P53196,0
P38182,P53882,0
Q04516,Q04651,0
P26449,P38915,0
P38090,Q12412,0
P53103,Q01926,0
P53071,P53854,0
P36120,P53633,0
Q02749,Q03687,0
P32796,Q03786,0
P34220,Q08347,0
P48589,Q06679,1
A0A023PYF4,P0CX51,0
P38778,P53865,0
P31412,Q04746,0
P38712,Q00711,0
P22214,P53934,0
Q03776,Q08963,1
P36108,Q03653,0
P40585,Q8TGP1,0
P05748,P0CX54,1
P21734,P40553,0
P05066,P0CX47,0
P40070,Q05080,0
P25036,P47007,0
P0CT04,P38284,0
P03874,Q96VG5,0
P0CX85,P26785,1
Q03029,Q12429,0
Q03654,Q12046,1
P53308,Q08651,0
P08593,Q02772,0
P20435,P47087,0
P28495,P40552,0
P38328,Q04347,0
P35056,P53244,0
P00498,Q06127,0
P54839,Q04767,0
P48560,P53222,0
P07270,P09201,0
P33298,Q12024,0
P43595,Q2V2Q2,0
P32377,P39009,0
Q08844,Q3E823,0
P47065,Q03375,0
P53210,Q99177,0
P28239,Q9P305,0
